l,mu,nu,Real,Imag,Magnitud
17,0,34,0.02114563953439774,0.027640968991404606,0.034801741883165496
18,0,0,-0.09502634416356055,-0.010352661157459447,0.09558861688576013
18,0,1,-0.0010506881692059007,0.011591560461132482,0.011639081559684988
18,0,2,-0.11187281130464578,-0.019075809274636372,0.11348749890929478
18,0,3,0.004321599565139412,0.011439058022302346,0.01222817530292287
18,0,4,0.040573706993397934,0.00041373414742921507,0.04057581638280193
18,0,5,-0.012273085335196327,0.0018365045405573427,0.0124097289483896
18,0,6,0.008670440103637277,-0.003547515004480079,0.009368105160477912
18,0,7,0.023928022022395273,0.02399198706527983,0.03388459356764941
18,0,8,-0.02089136665547114,0.0010674117179520978,0.02091861774852614
18,0,9,-0.0778155427419463,-0.01515964732611234,0.07927845608534374
18,0,10,0.07951236779838206,-0.014818987392131822,0.08088151222766143
18,0,11,-0.034138799192412785,0.01591065284397792,0.03766439278976187
18,0,12,-0.1098567268660774,0.017108870270346657,0.11118099603644269
18,0,13,-0.003650471886112708,-0.004202747761218614,0.005566779476117887
18,0,14,0.05694201694701924,-5.044258979766517e-18,0.05694201694701924
18,0,15,0.0036504718861126795,-0.00420274776121854,0.005566779476117814
18,0,16,0.03413879919241292,0.015910652843979793,0.037664392789762795
18,0,17,0.07951236779838262,0.014818987392131845,0.080881512227662
18,0,18,-0.07781554274185383,0.015159647326105762,0.07927845608525172
18,0,19,0.020891366655469343,0.001067411717951821,0.020918617748524333
18,0,20,0.023928022022395388,-0.02399198706527989,0.03388459356764953
18,0,21,-0.0086704401036351,-0.0035475150044797484,0.009368105160475773
18,0,22,0.012273085335198603,0.001836504540557224,0.012409728948391834
18,0,23,0.0405737069933989,-0.00041373414742940106,0.040575816382802894
18,0,24,-0.004321599565139614,0.011439058022302339,0.012228175302922934
18,0,25,-0.1118728113046459,0.019075809274636413,0.1134874989092949
18,0,26,0.00105068816920593,0.011591560461132494,0.011639081559685002
18,0,27,-0.09502634416356058,0.010352661157459446,0.09558861688576016
18,0,28,-0.02783124522275732,0.014663631976027361,0.03145791336655412
18,0,29,0.03687326932815751,0.0026556978488113244,0.03696878036953643
18,0,30,-0.03687326932815755,0.002655697848811364,0.03696878036953648
18,0,31,-0.0037863118530329152,0.0022719277458379474,0.004415632812035648
18,0,32,-0.02783124522275685,-0.014663631976027248,0.031457913366553646
18,0,33,0.04243749365725027,-0.012034096887567562,0.04411077369315256
18,0,34,0.003786311853032961,0.002271927745837943,0.004415632812035685
18,0,35,0.04243749365725031,0.012034096887567543,0.0441107736931526
18,0,36,-0.10985672686611916,-0.017108870270341987,0.11118099603648324
18,1,0,-0.00816038200106268,-0.005795993248838201,0.010009264315814913
18,1,1,-0.0005140965545292538,0.013620686095835423,0.01363038462365106
18,1,2,-0.035162583422441385,0.009654315859080108,0.03646386002121876
18,1,3,-0.0377020778134304,-0.0013837485105315972,0.0377274625623081
18,1,4,0.00047466851029348827,0.015467200238802867,0.015474482008192961
18,1,5,0.0254874735419581,-0.005006060439137445,0.02597444799552651
18,1,6,0.009573530948697692,0.02095796727711569,0.02304102617537519
18,1,7,-0.06756427879385041,-0.0022678150204195942,0.067602328021304
18,1,8,-0.03516209858133042,-0.007213208062850668,0.0358943386511184
18,1,9,0.15664468765456896,-0.0035210673110406955,0.15668425602276173
18,1,10,-0.16067658440117344,-0.030328114954424144,0.16351378942314368
18,1,11,0.010731197741773424,0.012626028625954043,0.016570310915503487
18,1,12,0.20160571213446377,0.009794188372698851,0.20184347720727608
18,1,13,-0.039147600106902644,-0.01477080539231649,0.04184150195759767
18,1,14,-0.14984065526277018,6.354989869966526e-17,0.14984065526277018
18,1,15,0.03914760010690255,-0.014770805392316623,0.04184150195759763
18,1,16,-0.010731197741773248,0.01262602862595296,0.016570310915502547
18,1,17,-0.16067658440117508,0.030328114954424387,0.16351378942314534
18,1,18,0.15664468765453693,0.0035210673110436103,0.15668425602272978
