lambda_A,Sigma_z,Sigma_x,Sigma_y
2.342685370741483,4.166220212853768,6.349252843683345,6.019777579740352
2.352705410821643,4.225059498505897,6.534984962102026,6.03121664509795
2.3627254509018036,4.294066698299861,6.732386295735112,6.036913864343968
2.3727454909819636,4.3745037409590495,6.941906700914402,6.035831731586895
2.382765531062124,4.467687810851607,7.1640940164111395,6.0267190406235995
2.3927855711422845,4.574985896117618,7.399625705590878,6.008076051959498
2.402805611222445,4.697808403733889,7.649346046318954,5.97811543569282
2.4128256513026054,4.837601835520699,7.9143094971388415,5.93471860856221
2.4228456913827654,4.995840535380008,8.195830916272408,5.875387059014741
2.432865731462926,5.174017537493497,8.495543360080863,5.797188228905235
2.442885771543086,2.962296305748424,5.208473978114145,4.707450694068007
2.4529058116232463,2.993475903518346,5.242103505770339,4.726827054594919
2.4629258517034067,3.02507414639233,5.271639231028088,4.74483769479519
2.472945891783567,3.0571388956325767,5.296742145783409,4.761466628758777
2.4829659318637276,3.0897238688013067,5.317079099851781,4.776700764693731
2.492985971943888,3.1228891256385167,5.332326349511176,4.790530004892228
2.503006012024048,3.156701629031618,5.34217337751853,4.802947338779117
2.513026052104208,3.1912358949350943,5.3463269752724045,4.81394892902967
2.5230460921843685,3.226574746845733,5.344515573420097,4.823534190861684
2.533066132264529,3.262810192328323,5.336493802276119,4.8317058647349995
2.5430861723446894,3.3000444411240117,5.322047257885609,4.838470082827644
2.55310621242485,3.3383910865653963,5.30099744338191,4.843836429801892
2.5631262525050102,3.3779764743745795,5.273206848400677,4.847817998523726
2.5731462925851702,3.4189412854391525,5.238584121669392,4.8504314415548775
2.5831663326653307,3.4614423618516392,5.197089283432843,4.851697019395143
2.5931863727454907,3.5056548083661334,5.14873891504163,4.851638646612781
2.603206412825651,3.5517744044763835,5.093611252757588,4.850283937159553
2.6132264529058116,3.600020365557292,5.031851101549421,4.847664250321583
2.623246492985972,3.6506384949405275,4.963674472292526,4.8438147389045225
2.6332665330661325,3.7039047724186114,4.889372832273411,4.838774401387511
2.6432865731462925,3.760129428492747,4.809316844152719,4.832586139900725
2.653306613226453,3.8196615577006345,4.7239594524772786,4.825296825981125
2.663326653306613,3.8828943285818496,4.633838159365035,4.816957376134482
2.6733466933867733,3.9502708522614967,4.539576312022702,4.807622839272547
2.6833667334669338,4.022290776255518,4.441883204201119,4.797352498095418
2.693386773547094,4.0995176749227635,4.341552771443173,4.7862099864423815
2.7034068136272547,4.182587313004704,4.23946063593017,4.774263424531188
2.7134268537074147,4.272216863899916,4.136559230771925,4.761585573835789
2.723446893787575,4.369215169709718,4.03387070559773,4.748254013105044
2.733466933867735,4.474494135655354,3.932477285167894,4.73435133668767
2.7434869739478955,4.589081357195996,3.8335087203110447,4.7199653758883935
2.753507014028056,4.714134084056712,3.7381264356677244,4.705189443522042
2.7635270541082164,4.850954631393007,3.647503941346705,4.690122601139888
2.773547094188377,5.001007354454032,3.56280303553184,4.6748699475584825
2.7835671342685373,5.16593730934111,3.4851452821619047,4.65954292630546
2.7935871743486973,5.347590728767201,3.4155782018862095,4.644259648388693
2.8036072144288577,5.548037448079256,3.3550355654094486,4.629145225370855
2.8136272545090177,5.769595423178984,3.3042911259086205,4.614332106066351
2.823647294589178,6.014857488332838,3.2639050712539928,4.599960408243284
2.8336673346693386,6.2867205081606015,3.2341624171088244,4.5861782344805775
2.843687374749499,6.588417084289624,3.2150024984251075,4.573141958766487
2.8537074148296595,6.923549983210948,3.205938649193516,4.561016467494547
2.8637274549098195,3.3065719322881013,3.0654167986651313,3.4903671440316995
2.87374749498998,3.3431581230785214,3.070224746903465,3.4937300691901756
2.88376753507014,3.380137534849826,3.075458018110408,3.496839050881996
2.8937875751503004,3.4175101863296007,3.081121306657625,3.4996911448178154
2.903807615230461,3.4552754868723214,3.087217909141465,3.5022828964872987
2.9138276553106213,3.4934322006284164,3.093749673285869,3.504610331819473
2.9238476953907817,3.5319784106781773,3.100716947702289,3.50666895005282
2.9338677354709417,3.5709114832518667,3.1081185326292875,3.508453718964282
2.943887775551102,3.6102280321653506,3.115951631782735,3.5099590726058625
