l,mu,nu,Real,Imag,Magnitud
16,0,15,0.0017157214036519748,-0.027628892153146588,0.02768211302529405
16,0,16,-0.027081294386525023,0.013336632322245343,0.030187120885377443
16,0,17,-0.008244831487519122,0.01862510949582883,0.020368405681083633
16,0,18,-0.013946285826430836,0.013503041804338582,0.01941213605768878
16,0,19,0.0011838511578451285,-0.02012655782571325,0.020161345031413716
16,0,20,0.0189852102041163,0.02373349418334493,0.0303927121633682
16,0,21,-0.0007632391363925507,-0.013231811390593977,0.013253805742335811
16,0,22,0.021571279804124866,0.013960119684472869,0.025694455705320016
16,0,23,-0.015920670464322256,0.0060677774449388365,0.01703777189525824
16,0,24,-0.021612469836237547,0.021455932484337033,0.03045416049072289
16,0,25,0.0012122228168215757,0.01139659483921896,0.011460883826604954
16,0,26,0.012594930436261215,0.012895057994731311,0.018025393016013355
16,0,27,-0.01932527130759995,0.025405197145873054,0.03192005878962353
16,0,28,-0.02161246983623755,-0.021455932484337033,0.03045416049072289
16,0,29,0.009047020957420831,-0.020718860981383643,0.022607958522828046
16,0,30,-0.001183851157845128,-0.02012655782571324,0.020161345031413706
16,0,31,0.004078692652544697,-0.010234944281187762,0.011017704760654107
16,0,32,-0.004078692652544694,-0.010234944281187788,0.01101770476065413
16,1,0,-0.006813052873891368,0.02813823126875719,0.028951299597712435
16,1,1,0.0005399000636962339,0.0029784364196495604,0.0030269746587432956
16,1,2,0.022993752535802645,-0.014230373990642791,0.027041009588979724
16,1,3,0.008273466765733992,-0.006476101583797208,0.010506671406652327
16,1,4,-0.0068130528738913195,-0.028138231268757193,0.028951299597712428
16,1,5,-0.030059146864672117,-0.0003287613148798246,0.030060944666362183
16,1,6,0.00454221784003293,0.015954265217188596,0.016588258544124133
16,1,7,0.018108567212286226,-0.0071003111156810695,0.01945082580306944
16,1,8,-0.007483336877675257,-0.004798984665478131,0.008889914771485085
16,1,9,-0.012756129397439836,-0.0005436616306698227,0.012767709472450074
16,1,10,-0.012644863986164776,0.012361632414074486,0.01768339733109291
16,1,11,0.012281163591122347,0.014778798948191414,0.01921561545990585
16,1,12,-0.042144489476649484,-0.00527870791915799,0.04247378898265612
16,1,13,0.01750803398786781,-0.002587482300955504,0.01769820100400299
16,1,14,-0.05574462394158411,2.159175199170874e-19,0.05574462394158411
16,1,15,-0.0175080339878678,-0.0025874823009554857,0.017698201004002975
16,1,16,-0.04214448947664948,0.005278707919158012,0.042473788982656115
16,1,17,0.012281163591122328,-0.014778798948191407,0.019215615459905834
16,1,18,-0.012756129397439834,0.0005436616306698221,0.012767709472450072
16,1,19,-0.0002221290123985615,0.00015734896739781593,0.0002722131438603199
16,1,20,-0.007483336877675263,0.004798984665478132,0.00888991477148509
16,1,21,-0.01810856721228623,-0.0071003111156810695,0.019450825803069442
16,1,22,0.004542217840033098,-0.01595426521718858,0.01658825854412416
16,1,23,0.030059146864672124,-0.000328761314879816,0.030060944666362194
16,1,24,0.028479159824582236,-0.01141480938967678,0.030681597378832023
16,1,25,-0.008273466765734013,-0.0064761015837971805,0.010506671406652327
16,1,26,0.022993752535802648,0.014230373990642793,0.027041009588979727
16,1,27,-0.000539900063696234,0.002978436419649561,0.003026974658743296
16,1,28,0.028479159824582243,0.011414809389676782,0.03068159737883203
16,1,29,0.012644863986164772,0.012361632414074463,0.017683397331092893
16,1,30,0.00022212901239856354,0.0001573489673978161,0.00027221314386032165
16,1,31,-0.014777270358830431,-0.014781096782230106,0.020900922021375556
16,1,32,0.014777270358830431,-0.014781096782230118,0.020900922021375563
17,0,0,0.0069368809188094845,-0.004430140335488549,0.00823082379071899
17,0,1,0.011815800949013022,-0.015149429443166332,0.01921245337067008
17,0,2,-0.015050593015835055,-0.02505008130255664,0.02922373903854537
17,0,3,-0.014682709004904284,0.030029494060654662,0.03342682242244379
17,0,4,0.026230204154471377,0.01069049174169228,0.028325081176661052
17,0,5,-0.011166388622793986,0.007757810514741142,0.013596759130685929
17,0,6,0.021453090236811627,0.007226589791524648,0.022637550236802362
