# alpha	beta	int	d	sig	s_int	s_d	s_sig
-1.356310e+00	7.114320e-01	5.706286e-02	1.439284e+00	1.321075e-02	1.954286e-01	1.719192e-01	4.246520e-02
-1.077120e+00	6.158500e-01	nan	nan	nan	nan	nan	nan
-1.221600e+00	6.109080e-01	nan	nan	nan	nan	nan	nan
-1.365200e+00	6.157670e-01	nan	nan	nan	nan	nan	nan
-1.060640e+00	5.029660e-01	6.708779e-09	1.470428e+00	3.081708e-02	1.429168e+01	2.824076e+07	2.132633e+07
-1.232900e+00	5.062250e-01	nan	nan	nan	nan	nan	nan
-1.398450e+00	5.216240e-01	nan	nan	nan	nan	nan	nan
-1.064070e+00	3.897560e-01	1.677354e-02	1.434469e+00	9.994895e-04	5.310723e-03	1.028230e-03	7.565222e-04
-1.277240e+00	4.031740e-01	3.365125e-01	1.406330e+00	2.872022e-02	5.898553e+00	9.135040e+01	1.521741e-01
-1.469470e+00	4.314600e-01	nan	nan	nan	nan	nan	nan
5.007140e-01	1.393100e+00	nan	nan	nan	nan	nan	nan
5.329260e-01	1.470010e+00	nan	nan	nan	nan	nan	nan
5.644460e-01	1.546550e+00	nan	nan	nan	nan	nan	nan
3.976370e-01	1.442520e+00	2.550028e-02	1.435005e+00	6.751465e-04	5.424672e-03	3.451588e-04	5.831631e-04
4.381050e-01	1.515390e+00	2.896672e-02	1.435968e+00	3.447761e-05	1.345388e+08	7.175227e+06	6.572002e+06
-2.663590e+00	1.553690e+00	4.028544e-02	1.437984e+00	9.966428e-04	5.764589e-03	4.510730e-04	3.228039e-04
3.012530e-01	1.502700e+00	7.178674e-02	1.439910e+00	2.841702e-03	1.414781e-02	4.590801e-03	1.419959e-03
-2.792500e+00	1.570720e+00	1.416560e-01	1.438808e+00	2.769515e-03	1.088794e-02	1.688289e-03	5.623325e-04
-2.744960e+00	1.502960e+00	8.146316e-02	1.437985e+00	2.557050e-03	1.005011e-02	2.122691e-03	7.635332e-04
-2.929680e+00	1.569260e+00	4.570951e-01	1.436670e+00	1.916249e-03	2.504322e-02	2.783296e-04	2.317457e-04
-2.875230e+00	1.506220e+00	2.675862e-01	1.438158e+00	2.020778e-03	2.018646e-02	5.727879e-04	3.112419e-04
-2.820690e+00	1.443770e+00	7.789556e-02	1.437326e+00	1.385770e-03	7.484805e-03	3.893042e-04	2.987065e-04
